Chocolate Mint Candies Cookies,"I received this recipe through a cookie exchange years ago, and it has become a favorite of family and friends.",5,20 mins,false
Judy's Strawberry Pretzel Salad,"This three-layer salad includes a pretzel crust, cream cheese center, and strawberry top.",5,15 mins,false
Creamy Strawberry Crepes,"These delicate crepes are rolled up with a fluffy cream cheese filling and sliced strawberries. Make these as a dessert treat during strawberry season, or for a fancy weekend brunch.",5,30 mins,false
Curry Stand Chicken Tikka Masala Sauce,Chunks of chicken simmer in a spicy tomato and cream sauce for the bright orange chicken tikka masala you crave.,5,15 mins,false
